speakout@annistonstar.com,The Andalusia Star News
speakout@annistonstar.com,The Anniston Star
epage@bhamnews.com,The Birmingham News
news@cullmantimes.com,The Cullman Times
dsnews@thedailysentinel.com,The Daily Sentinel
enterpriseledger.news@thomnews.com,The Enterprise Ledger
tjnews@times-journal.com,The Fort Payne Times Journal
brian.blackley@troymessenger.com,The Messenger
oawebmaster@thomnews.com,The Opelika-Auburn News
news@selmatimesjournal.com,The Selma Times-Journal
vent@timesdaily.com,The Shoals Times Daily
timesdly@timedaily.com,The Times Daily
news@valleytimes-news.com,The Valley Times-News
mailbox@postherald.com,Birmingham Post-Herald
cpappas@dailyhome.com,Daily Home
news@mountaineagle.com,Daily Mountain Eagle
twright@traveller.net,Decatur Daily
dothaneagle.news@thomnews.com,Dothan Eagle
gtnewsroom@yahoo.com,Gadsden Times
htimes@htimes.com,Huntsville Times
fcoleman@mobileregister.com,Mobile Register
editor@montgome.gannett.com,Montgomery Advertiser
info@speakinoutnews.com,Speaking Out News
waao@waao.com,WAAO 103.7 FM
newsroom@waaytv.com,WAAY
news@waff.com,WAFF
tv8@waka.com,WAKA
wani@aunetwork.com,WANI 1400 AM
info@wbcf.com,WBCF 1240 AM
comments@abc3340.com,WBMA
info@wbrc.com,WBRC
mail@wcov.com,WCOV
wdfx@ala.com,WDFX
wdhn@aol.com,WDHN
eagle1023@aol.com,WELR 102.3 FM
eagle1023@aol.com,WELR 1360 AM
rsteele@amfm.com,WERC 960 AM
wgad@cybrtyme.com,WGAD 1350 AM
info@wdxx.com,WHBB 1490 AM
celeste@whnt19.com,WHNT
Webmaster@whoa32.com,WHOA
tv5@wkrg.com,WKRG
wopp@www.wopp.com,WOPP 1290 AM
nbc15@wpmi.com,WPMI
wsfa@traveller.com,WSFA
newsroom@wtvynews4.com,WTVY
wvnn@wvnn.com,WVNN 770 AM
13news@nbc13.com,WVTM
GM@fox54.com,WZDX
roy@couriernews.com,The Courier
citizen@cswnet.com,The Daily Citizen
jpublish@oztec.com,The Harrison Daily Times
jmorriss@nwaonline.net,The Morning News of Northwest Arkansas
gmoritz@abpg.com,Arkansas Business
voices@ardemgaz.com,Arkansas Democrat-Gazette
arktimes@arktimes.com,Arkansas Times
banrnews@ipa.net,Banner-News
batguard@ipa.net,Batesville Guard-Record
newsroom@nwanews.com,Benton County Daily Record
dailywor@ipa.net,Daily World
dqbee@ipa.net,De Queen Daily Citizen
editor@earknewsleader.com,East Arkansas News Leader/ Wynne Progress
eldnews@ipa.net,El Dorado News-Times
hotsr@direclynx.com,Hot Springs Sentinel Record
newsroom@jonesborosun.com,Jonesboro Sun
main@kait.com,KAIT
news4@kark.com,KARK
tv7@katv.com,KATV
keld@arkansas.net,KELD 1400 AM
mailbox@nbc24-51.com,KFAA
kfsm@kfsm.com,KFSM
tv40news@khbs-khog.com,KHBS-KHOG
info@klrt.com,KLRT
fox46@ipa.net,KPBI
mailbox@nbc24-51.com,KPOM
webmaster@kwhn.com,KWHN 1320AM
kzng@hotsprings.net,KZNG 1340 AM
lavilla_editor@lavillanews.com,La Villa News
mail@thecabin.net,Log Cabin Democrat
mdrecord@ipa.net,Malvern Daily Record
editor@nwarktimes.com,Northwest Arkansas Times
destes@paragoulddailypress.com,Paragould Daily Press
letters@pbcommercial.com,Pine Bluff Commercial
letters@swtimes.com,Southwest Times Record
tamjohns@ipa.net,Times-Herald
opinions@arizonarepublic.com,The Arizona Republic
bisbeeobserver@theriver.com,The Bisbee Observer
phoenix@amcity.com,The Business Journal Of Phoenix
edit.courier@prescottaz.com,The Daily Courier
dispatch@primenet.com,The Daily Dispatch
kingmannewspapers@mcimail.com,The Kingman Daily Miner
letters@azstarnet.com,Arizona Daily Star
